Time	Ca.ParticleNumber	cAMP.ParticleNumber
464	8.90836	0.143889
464.5	8.90787	0.143476
465	8.90738	0.143065
465.5	8.90691	0.142655
466	8.90644	0.142247
466.5	8.90598	0.141841
467	8.90554	0.141436
467.5	8.9051	0.141033
468	8.90466	0.140631
468.5	8.90424	0.140231
469	8.90382	0.139832
469.5	8.90341	0.139435
470	8.90301	0.139039
470.5	8.90262	0.138645
471	8.90223	0.138253
471.5	8.90186	0.137862
472	8.90148	0.137472
472.5	8.90112	0.137084
473	8.90076	0.136698
473.5	8.90041	0.136313
474	8.90007	0.135929
474.5	8.89973	0.135547
475	8.8994	0.135167
475.5	8.89907	0.134788
476	8.89875	0.134411
476.5	8.89844	0.134035
477	8.89813	0.13366
477.5	8.89783	0.133287
478	8.89753	0.132916
478.5	8.89724	0.132546
479	8.89695	0.132177
479.5	8.89667	0.13181
480	8.8964	0.131445
480.5	8.89613	0.131081
481	8.89586	0.130718
481.5	8.8956	0.130357
482	8.89534	0.129997
482.5	8.89509	0.129639
483	8.89485	0.129282
483.5	8.8946	0.128927
484	8.89437	0.128573
484.5	8.89413	0.12822
485	8.8939	0.127869
485.5	8.89368	0.127519
486	8.89346	0.127171
486.5	8.89324	0.126824
487	8.89303	0.126479
487.5	8.89282	0.126135
488	8.89261	0.125792
488.5	8.89241	0.125451
489	8.89221	0.125111
489.5	8.89202	0.124773
490	8.89183	0.124436
490.5	8.89164	0.1241
491	8.89145	0.123766
491.5	8.89127	0.123433
492	8.89109	0.123101
492.5	8.89092	0.122771
493	8.89075	0.122442
493.5	8.89058	0.122114
494	8.89041	0.121788
494.5	8.89025	0.121463
495	8.89009	0.12114
495.5	8.88993	0.120818
496	8.88977	0.120497
496.5	8.88962	0.120177
497	8.88947	0.119859
497.5	8.88932	0.119542
498	8.88917	0.119226
498.5	8.88903	0.118912
499	8.88889	0.118599
499.5	8.88875	0.118287
500	8.88862	0.117977
500.5	8.88848	0.117667
501	8.88835	0.11736
501.5	8.88822	0.117053
502	8.88809	0.116747
502.5	8.88797	0.116443
503	8.88784	0.11614
503.5	8.88772	0.115839
504	8.8876	0.115538
504.5	8.88749	0.115239
505	8.88737	0.114941
505.5	8.88726	0.114645
506	8.88714	0.114349
506.5	8.88703	0.114055
507	8.88692	0.113762
507.5	8.88682	0.11347
508	8.88671	0.11318
508.5	8.88661	0.11289
509	8.8865	0.112602
509.5	8.8864	0.112315
510	8.8863	0.112029
510.5	8.88621	0.111744
511	8.88611	0.111461
511.5	8.88601	0.111179
512	8.88592	0.110897
512.5	8.88583	0.110617
513	8.88573	0.110338
513.5	8.88564	0.110061
514	8.88556	0.109784
514.5	8.88547	0.109509
515	8.88538	0.109234
515.5	8.88529	0.108961
516	8.88521	0.108689
516.5	8.88513	0.108418
517	8.88504	0.108148
517.5	8.88496	0.107879
518	8.88488	0.107612
518.5	8.8848	0.107345
519	8.88472	0.10708
519.5	8.88465	0.106815
520	8.88457	0.106552
520.5	8.88449	0.106289
521	8.88442	0.106028
521.5	8.88434	0.105768
522	8.88427	0.105509
522.5	8.8842	0.105251
523	8.88413	0.104994
523.5	8.88405	0.104738
524	8.88398	0.104483
524.5	8.88392	0.104229
525	8.88385	0.103977
525.5	8.88378	0.103725
526	8.88371	0.103474
526.5	8.88364	0.103224
527	8.88358	0.102976
527.5	8.88351	0.102728
528	8.88345	0.102481
528.5	8.88338	0.102235
529	8.88332	0.10199
529.5	8.88326	0.101747
530	8.8832	0.101504
530.5	8.88313	0.101262
531	8.88307	0.101021
531.5	8.88301	0.100781
532	8.88295	0.100542
532.5	8.88289	0.100304
533	8.88283	0.100067
533.5	8.88277	0.0998314
534	8.88271	0.0995963
534.5	8.88266	0.0993621
535	8.8826	0.0991289
535.5	8.88254	0.0988966
536	8.88249	0.0986652
536.5	8.88243	0.0984347
537	8.88237	0.0982052
537.5	8.88232	0.0979765
538	8.88226	0.0977488
538.5	8.88221	0.097522
539	8.88216	0.097296
539.5	8.8821	0.097071
540	8.88205	0.0968469
540.5	8.882	0.0966236
541	8.88194	0.0964012
541.5	8.88189	0.0961797
542	8.88184	0.0959591
542.5	8.88179	0.0957393
543	8.88174	0.0955204
543.5	8.88168	0.0953024
544	8.88163	0.0950852
544.5	8.88158	0.0948688
545	8.88153	0.0946533
545.5	8.88148	0.0944387
546	8.88143	0.0942249
546.5	8.88138	0.0940119
547	8.88133	0.0937997
547.5	8.88129	0.0935884
548	8.88124	0.0933779
548.5	8.88119	0.0931682
549	8.88114	0.0929593
549.5	8.88109	0.0927513
550	8.88104	0.092544
550.5	8.881	0.0923375
551	8.88095	0.0921319
551.5	8.8809	0.091927
552	8.88085	0.0917229
552.5	8.88081	0.0915196
553	8.88076	0.0913171
553.5	8.88072	0.0911154
554	8.88067	0.0909144
554.5	8.88062	0.0907142
555	8.88058	0.0905148
555.5	8.88053	0.0903161
556	8.88049	0.0901182
556.5	8.88044	0.0899211
557	8.8804	0.0897246
557.5	8.88035	0.089529
558	8.88031	0.0893341
558.5	8.88026	0.0891399
559	8.88022	0.0889465
559.5	8.88017	0.0887538
560	8.88013	0.0885618
560.5	8.88009	0.0883705
561	8.88004	0.08818
561.5	8.88	0.0879902
562	8.87996	0.0878011
562.5	8.87991	0.0876127
563	8.87987	0.087425
563.5	8.87983	0.087238
564	8.87978	0.0870517
564.5	8.87974	0.0868662
565	8.8797	0.0866813
565.5	8.87965	0.0864971
566	8.87961	0.0863135
566.5	8.87957	0.0861307
567	8.87953	0.0859485
567.5	8.87949	0.085767
568	8.87944	0.0855862
568.5	8.8794	0.0854061
569	8.87936	0.0852266
569.5	8.87932	0.0850478
